unit,treated_group,year,post,outcome
T00,1,2017,0,50.91415123926329
T00,1,2018,0,47.88004768127851
T00,1,2019,1,59.25135358741937
T00,1,2020,1,60.82169414917364
T01,1,2017,0,44.146894434038494
T01,1,2018,0,47.093461479413044
T01,1,2019,1,57.38352120950186
T01,1,2020,1,57.05127222296925
T02,1,2017,0,49.94959652748713
T02,1,2018,0,48.44086821727926
T02,1,2019,1,59.638193924588485
T02,1,2020,1,60.333375806286845
T03,1,2017,0,50.198092092683645
T03,1,2018,0,54.3817236209041
T03,1,2019,1,58.40252802675614
T03,1,2020,1,55.42212261135028
T04,1,2017,0,51.106252352247495
T04,1,2018,0,48.123352197513
T04,1,2019,1,59.63535090392182
T04,1,2020,1,57.85022226704124
T05,1,2017,0,49.445412909364215
T05,1,2018,0,48.95721136678817
T05,1,2019,1,60.66762401602209
T05,1,2020,1,57.53641155379359
T06,1,2017,0,48.71501653351068
T06,1,2018,0,49.94359934853531
T06,1,2019,1,58.59692755666005
T06,1,2020,1,59.09633219309224
T07,1,2017,0,51.23819783478797
T07,1,2018,0,52.29246300902365
T07,1,2019,1,63.42494280261138
T07,1,2020,1,56.78075495084615
T08,1,2017,0,48.463271812785386
T08,1,2018,0,48.558681815256364
T08,1,2019,1,58.847938267726484
T08,1,2020,1,61.38691687816267
T09,1,2017,0,49.65815762703537
T09,1,2018,0,48.47953056911241
T09,1,2019,1,54.52655635292628
T09,1,2020,1,59.951778363474105
T10,1,2017,0,52.229762513610325
T10,1,2018,0,52.62946280491558
T10,1,2019,1,55.00347087813392
T10,1,2020,1,58.69648396920016
T11,1,2017,0,50.350057427422186
T11,1,2018,0,51.656065790187036
T11,1,2019,1,59.61428633384457
T11,1,2020,1,58.670786646324046
T12,1,2017,0,52.036740689215684
T12,1,2018,0,51.20273720846667
T12,1,2019,1,57.86735819606995
T12,1,2020,1,59.89386467751562
T13,1,2017,0,45.628532540433
T13,1,2018,0,50.040986350928094
T13,1,2019,1,55.588882037121614
T13,1,2020,1,56.083366455269974
T14,1,2017,0,49.17457324631995
T14,1,2018,0,55.48482393370319
T14,1,2019,1,54.40250665292027
T14,1,2020,1,60.90483506377444
T15,1,2017,0,44.95139068515259
T15,1,2018,0,49.995344910042675
T15,1,2019,1,57.48825919531502
T15,1,2020,1,59.758666994077835
T16,1,2017,0,52.133679739378564
T16,1,2018,0,53.38004170559977
T16,1,2019,1,55.95382478325469
T16,1,2020,1,56.612944622006296
T17,1,2017,0,52.57392764377146
T17,1,2018,0,50.42608702535516
T17,1,2019,1,53.172941029986234
T17,1,2020,1,54.60013835798956
T18,1,2017,0,47.24164314199517
T18,1,2018,0,52.49148223216129
T18,1,2019,1,57.4272772082117
T18,1,2020,1,60.0714560622033
T19,1,2017,0,48.7182420609904
T19,1,2018,0,51.47561907323014
T19,1,2019,1,58.87677118190201
T19,1,2020,1,57.071960380839286
C00,0,2017,0,51.37032571267223
C00,0,2018,0,49.01422217680005
C00,0,2019,1,50.91083846030479
C00,0,2020,1,51.85478631800501
C01,0,2017,0,46.41248106323288
C01,0,2018,0,52.460917442356745
C01,0,2019,1,50.591792979391826
C01,0,2020,1,53.03748235618306
C02,0,2017,0,51.44223997671773
C02,0,2018,0,52.339593528089836
C02,0,2019,1,53.996155326918355
C02,0,2020,1,52.704543546471726
C03,0,2017,0,48.73010506386754
C03,0,2018,0,50.7608453672808
C03,0,2019,1,46.937996698125914
C03,0,2020,1,48.65866258273074
C04,0,2017,0,46.03190116293679
C04,0,2018,0,48.008259517195555
C04,0,2019,1,53.19932268017031
C04,0,2020,1,50.28356283391982
C05,0,2017,0,48.86551233788183
C05,0,2018,0,54.897684893358196
C05,0,2019,1,50.93120808681572
C05,0,2020,1,55.21254670540126
C06,0,2017,0,47.19914695997037
C06,0,2018,0,50.38368732639711
C06,0,2019,1,49.14993383526826
C06,0,2020,1,51.982900772298315
C07,0,2017,0,52.52092441237219
C07,0,2018,0,45.818038730422955
C07,0,2019,1,53.303270930637574
C07,0,2020,1,53.71320680699684
C08,0,2017,0,48.217550132909615
C08,0,2018,0,46.66182643683464
C08,0,2019,1,52.21638852314161
C08,0,2020,1,51.41152187280859
C09,0,2017,0,50.69802863406411
C09,0,2018,0,51.065556436570326
C09,0,2019,1,56.80533667396275
C09,0,2020,1,52.28193311758093
C10,0,2017,0,46.92950752213441
C10,0,2018,0,51.53782690486895
C10,0,2019,1,52.659990051915294
C10,0,2020,1,57.07756272572131
C11,0,2017,0,52.50533373774373
C11,0,2018,0,52.07061317744853
C11,0,2019,1,56.38990867365869
C11,0,2020,1,49.43371083703145
C12,0,2017,0,48.080745401750754
C12,0,2018,0,48.22027217578343
C12,0,2019,1,50.830570590532695
C12,0,2020,1,48.869941557331074
C13,0,2017,0,51.90545284044321
C13,0,2018,0,50.33333190870368
C13,0,2019,1,47.587581116492025
C13,0,2020,1,49.95326275637738
C14,0,2017,0,50.94054154235059
C14,0,2018,0,53.51437970368314
C14,0,2019,1,57.99019267507536
C14,0,2020,1,61.74158739802199
C15,0,2017,0,51.24322829982799
C15,0,2018,0,48.03138563990441
C15,0,2019,1,45.60386115780607
C15,0,2020,1,53.803134387031506
C16,0,2017,0,47.56117671406902
C16,0,2018,0,49.753928219460946
C16,0,2019,1,50.163709602820575
C16,0,2020,1,52.577627340750844
C17,0,2017,0,53.197940692362934
C17,0,2018,0,51.47114570233603
C17,0,2019,1,51.52409548888394
C17,0,2020,1,49.89303874152257
C18,0,2017,0,44.975951165886926
C18,0,2018,0,49.54107627278001
C18,0,2019,1,51.838652347545036
C18,0,2020,1,58.303789740739646
C19,0,2017,0,50.39082356441866
C19,0,2018,0,53.94821853306917
C19,0,2019,1,50.502113204382546
C19,0,2020,1,49.44516870074892
