unit,treated_group,year,post,outcome
T00,1,2017,0,47.68820397030542
T00,1,2018,0,52.73114024190209
T00,1,2019,1,61.57331235818028
T00,1,2020,1,57.05921121615512
T01,1,2017,0,48.195271243629605
T01,1,2018,0,51.57429677737828
T01,1,2019,1,56.99391291717291
T01,1,2020,1,55.01915095798087
T02,1,2017,0,51.38275824714014
T02,1,2018,0,57.04654816042623
T02,1,2019,1,56.22566401420283
T02,1,2020,1,57.39137141180601
T03,1,2017,0,46.86520392929274
T03,1,2018,0,51.95726535505964
T03,1,2019,1,53.259071325877116
T03,1,2020,1,54.67920692694555
T04,1,2017,0,53.83900181553137
T04,1,2018,0,48.283640821816064
T04,1,2019,1,60.244072707994015
T04,1,2020,1,62.573074011348425
T05,1,2017,0,50.77797937243023
T05,1,2018,0,52.66017420855247
T05,1,2019,1,62.856752831060334
T05,1,2020,1,57.40981479380285
T06,1,2017,0,48.22098260917515
T06,1,2018,0,46.940306805651176
T06,1,2019,1,57.12512124103904
T06,1,2020,1,62.43743263275492
T07,1,2017,0,52.87878614420259
T07,1,2018,0,48.17372627574613
T07,1,2019,1,54.43387384850221
T07,1,2020,1,56.48748631197711
T08,1,2017,0,50.87680424748603
T08,1,2018,0,50.38406571868895
T08,1,2019,1,57.64336183632924
T08,1,2020,1,58.89021813413634
T09,1,2017,0,49.103679239964656
T09,1,2018,0,50.87947817519117
T09,1,2019,1,57.6197771316481
T09,1,2020,1,57.74809088940047
T10,1,2017,0,51.510562594982154
T10,1,2018,0,56.612627319984014
T10,1,2019,1,58.77591685431249
T10,1,2020,1,58.167431639225654
T11,1,2017,0,44.94164412991425
T11,1,2018,0,52.1638712580456
T11,1,2019,1,51.15996476469838
T11,1,2020,1,53.77289774153164
T12,1,2017,0,52.563917757406294
T12,1,2018,0,53.11870518040999
T12,1,2019,1,56.55018300495335
T12,1,2020,1,52.86996668154335
T13,1,2017,0,48.88595444932745
T13,1,2018,0,48.963785045351926
T13,1,2019,1,58.910522238390634
T13,1,2020,1,64.77319159728259
T14,1,2017,0,50.65079146386397
T14,1,2018,0,48.66206661590365
T14,1,2019,1,53.48834540909034
T14,1,2020,1,57.83171715769518
T15,1,2017,0,49.46962041945924
T15,1,2018,0,47.545442521417584
T15,1,2019,1,57.349065707076555
T15,1,2020,1,54.547259436067414
T16,1,2017,0,53.3363218151879
T16,1,2018,0,54.187951817364464
T16,1,2019,1,60.25425379588926
T16,1,2020,1,56.57784858817442
T17,1,2017,0,51.54356168995427
T17,1,2018,0,50.60379148434193
T17,1,2019,1,55.83356381579256
T17,1,2020,1,56.9825630285738
T18,1,2017,0,46.10085418089755
T18,1,2018,0,46.66840891231464
T18,1,2019,1,59.38294437262814
T18,1,2020,1,57.42629378824144
T19,1,2017,0,50.64927455338287
T19,1,2018,0,54.00513116536236
T19,1,2019,1,51.80060251495178
T19,1,2020,1,55.647609778552315
