"iso3","gpi","Year","pop","area"
"AFG",2.97361163734777,2008,26482.622,"Central and Southern Asia"
"AGO",2.39190392422192,2008,21578.655,"Sub-Saharan Africa"
"ALB",2.2617050067659,2008,2992.9305,"Europe and North America"
"ARE",2.01918132611637,2008,6302.6645,"Northern Africa and Western Asia"
"ARG",2.38903924221922,2008,40424.148,"Latin America and the Caribbean"
"ARM",2.18470906630582,2008,2959.99,"Northern Africa and Western Asia"
"AUS",1.52002706359946,2008,21370.5885,"Oceania"
"AUT",1.5043301759134,2008,8323.2525,"Europe and North America"
"AZE",2.09059539918809,2008,8942.6385,"Northern Africa and Western Asia"
"BDI",2.6193098782138,2008,8505.637,"Sub-Saharan Africa"
"BEL",1.64644790257104,2008,10709.7075,"Europe and North America"
"BEN",2.34377537212449,2008,9228.466,"Sub-Saharan Africa"
"BFA",1.94945872801083,2008,15258.093,"Sub-Saharan Africa"
"BGD",2.40436400541272,2008,149474.2635,"Central and Southern Asia"
"BGR",2.02669147496617,2008,7535.5915,"Europe and North America"
"BHR",2.24353856562923,2008,1120.7135,"Northern Africa and Western Asia"
"BIH",1.75937077131258,2008,3947.5445,"Europe and North America"
"BLR",2.84868064952639,2008,9529.358,"Europe and North America"
"BOL",2.33954668470907,2008,9850.8575,"Latin America and the Caribbean"
"BRA",2.68230717185386,2008,190367.3015,"Latin America and the Caribbean"
"BTN",1.84211772665765,2008,686.3515,"Central and Southern Asia"
"BWA",2.44489174560217,2008,1949.9705,"Sub-Saharan Africa"
"CAF",3.00489851150203,2008,4558.9835,"Sub-Saharan Africa"
"CAN",1.35365358592693,2008,33449.085,"Europe and North America"
"CHE",1.34512855209743,2008,7641.728,"Europe and North America"
"CHL",1.90656292286874,2008,16838.988,"Latin America and the Caribbean"
"CHN",2.5105548037889,2008,1333821.016,"Eastern Asia"
"CIV",2.69715832205683,2008,21514.4385,"Sub-Saharan Africa"
"CMR",2.57351150202977,2008,18574.0565,"Sub-Saharan Africa"
"COD",3.28836535859269,2008,64390.6635,"Sub-Saharan Africa"
"COG",2.55855886332882,2008,4113.5175,"Sub-Saharan Africa"
"COL",3.09031393775372,2008,43758.8085,"Latin America and the Caribbean"
"CRI",1.89786874154263,2008,4440.0555,"Latin America and the Caribbean"
"CUB",2.50906630581867,2008,11291.7615,"Latin America and the Caribbean"
"CYP",1.76153585926928,2008,1091.0265,"Northern Africa and Western Asia"
"CZE",1.70541271989175,2008,10378.2925,"Europe and North America"
"DEU",1.63585926928281,2008,81110.7765,"Europe and North America"
"DJI",2.37121109607578,2008,892.7335,"Sub-Saharan Africa"
"DNK",1.22510148849797,2008,5493.7635,"Europe and North America"
"DOM",2.63261163734777,2008,9573.13,"Latin America and the Caribbean"
"DZA",2.55019621109608,2008,34816.961,"Northern Africa and Western Asia"
"ECU",2.59336941813261,2008,14575.2025,"Latin America and the Caribbean"
"EGY",2.28166441136671,2008,85864.7895,"Northern Africa and Western Asia"
"ERI",3.1339648173207,2008,2816.3275,"Sub-Saharan Africa"
"ESP",1.87141407307172,2008,46235.054,"Europe and North America"
"EST",1.94509472259811,2008,1337.074,"Europe and North America"
"ETH",2.50135182679296,2008,85543.668,"Sub-Saharan Africa"
"FIN",1.30510825439783,2008,5313.377,"Europe and North America"
"FRA",1.54380920162382,2008,62780.19,"Europe and North America"
"GAB",2.49025710419486,2008,1607.175,"Sub-Saharan Africa"
"GBR",1.75165764546685,2008,62027.3065,"Europe and North America"
"GEO",2.76667794316644,2008,3941.1955,"Northern Africa and Western Asia"
"GHA",2.04120433017591,2008,24249.946,"Sub-Saharan Africa"
"GIN",2.7587848443843,2008,9898.8695,"Sub-Saharan Africa"
"GMB",2.31644113667118,2008,1817.852,"Sub-Saharan Africa"
"GNB",2.57347767253045,2008,1488.0545,"Sub-Saharan Africa"
"GNQ",2.26231393775372,2008,1084.53,"Sub-Saharan Africa"
"GRC",2.00172530446549,2008,11076.872,"Europe and North America"
"GTM",2.98217185385656,2008,13935.174,"Latin America and the Caribbean"
"GUY",2.76244925575102,2008,754.6065,"Latin America and the Caribbean"
"HND",2.86512178619756,2008,8012.587,"Latin America and the Caribbean"
"HRV",1.85524357239513,2008,4314.6305,"Europe and North America"
"HTI",2.6153247631935,2008,9530.7745,"Latin America and the Caribbean"
"HUN",1.51975642760487,2008,10016.657,"Europe and North America"
"IDN",2.17861975642761,2008,240157.9035,"South-Eastern Asia"
"IND",2.35769824086604,2008,1207930.9635,"Central and Southern Asia"
"IRL",1.48545331529093,2008,4485.9995,"Europe and North America"
"IRN",2.77979296346414,2008,75514.2035,"Central and Southern Asia"
"IRQ",3.90753450608931,2008,28971.0355,"Northern Africa and Western Asia"
"ISL",1.17253044654939,2008,317.5145,"Europe and North America"
"ISR",2.58292557510149,2008,7082.6205,"Northern Africa and Western Asia"
"ITA",1.86725304465494,2008,59561.684,"Europe and North America"
"JAM",2.84654939106901,2008,2725.6345,"Latin America and the Caribbean"
"JOR",2.18805818673884,2008,6989.866,"Northern Africa and Western Asia"
"JPN",1.23609607577808,2008,128155.99,"Eastern Asia"
"KAZ",2.68910690121786,2008,16426.525,"Central and Southern Asia"
"KEN",2.8393247631935,2008,39206.3515,"Sub-Saharan Africa"
"KGZ",2.6807848443843,2008,5342.5195,"Central and Southern Asia"
"KHM",2.52466170500677,2008,14053.4795,"South-Eastern Asia"
"KOR",1.43176589986468,2008,48356.493,"Eastern Asia"
"KWT",1.74847767253045,2008,2651.4205,"Northern Africa and Western Asia"
"LAO",2.1638700947226,2008,6148.969,"South-Eastern Asia"
"LBN",2.44049391069012,2008,4925.3535,"Northern Africa and Western Asia"
"LBR",2.27043301759134,2008,3821.0035,"Sub-Saharan Africa"
"LBY",2.28805818673884,2008,6235.43,"Northern Africa and Western Asia"
"LKA",2.68989445196211,2008,20629.378,"Central and Southern Asia"
"LSO",2.34506089309878,2008,1966.5405,"Sub-Saharan Africa"
"LTU",2.02584573748309,2008,3198.4805,"Europe and North America"
"LVA",2.1527401894452,2008,2177.7115,"Europe and North America"
"MAR",2.33589309878214,2008,31606.7665,"Northern Africa and Western Asia"
"MDA",2.38697564276049,2008,3779.504,"Europe and North America"
"MDG",2.03596075778079,2008,20923.8405,"Sub-Saharan Africa"
"MEX",2.70700135317997,2008,110374.288,"Latin America and the Caribbean"
"MKD",2.16941813261164,2008,2070.834,"Europe and North America"
"MLI",2.8651447902571,2008,14940.7825,"Sub-Saharan Africa"
"MMR",2.50883897158322,2008,48390.7935,"South-Eastern Asia"
"MNE",2.24002029769959,2008,632.8445,"Europe and North America"
"MNG",2.58487821380244,2008,2634.424,"Eastern Asia"
"MOZ",1.85155615696888,2008,21819.036,"Sub-Saharan Africa"
"MRT",2.60932611637348,2008,3183.2685,"Sub-Saharan Africa"
"MUS",2.193200270636,2008,1274.635,"Sub-Saharan Africa"
"MWI",2.16972259810555,2008,13976.4175,"Sub-Saharan Africa"
"MYS",2.02249661705007,2008,27570.059,"South-Eastern Asia"
"NAM",2.36312584573748,2008,2047.056,"Sub-Saharan Africa"
"NER",2.34143031123139,2008,15361.9145,"Sub-Saharan Africa"
"NGA",3.28121380243572,2008,157595.014,"Sub-Saharan Africa"
"NIC",2.19925575101489,2008,5576.593,"Latin America and the Caribbean"
"NLD",1.42784167794317,2008,16597.258,"Europe and North America"
"NOR",1.33227334235453,2008,4768.101,"Europe and North America"
"NPL",2.44082138024357,2008,26990.037,"Central and Southern Asia"
"NZL",1.45757780784844,2008,4261.824,"Oceania"
"OMN",1.87787550744249,2008,2626.529,"Northern Africa and Western Asia"
"PAK",3.07121921515562,2008,189499.113,"Central and Southern Asia"
"PAN",2.04722598105548,2008,3500.6485,"Latin America and the Caribbean"
"PER",2.47979296346414,2008,28719.041,"Latin America and the Caribbean"
"PHL",2.74375778078484,2008,92699.0945,"South-Eastern Asia"
"PNG",2.58856562922869,2008,7183.0015,"Oceania"
"POL",1.73941136671177,2008,37995.902,"Europe and North America"
"PRK",2.91380243572395,2008,24764.6175,"Eastern Asia"
"PRT",1.53802435723951,2008,10564.0805,"Europe and North America"
"PRY",2.56637347767253,2008,5613.5735,"Latin America and the Caribbean"
"QAT",1.49174560216509,2008,1426.9385,"Northern Africa and Western Asia"
"ROU",1.85504059539919,2008,20718.742,"Europe and North America"
"RUS",3.47963328822733,2008,143811.8405,"Europe and North America"
"RWA",2.36089309878214,2008,9804.26849999999,"Sub-Saharan Africa"
"SAU",2.45621380243572,2008,23287.8775,"Northern Africa and Western Asia"
"SDN",3.18252909336942,2008,33623.9795,"Northern Africa and Western Asia"
"SEN",2.40385656292287,2008,12048.959,"Sub-Saharan Africa"
"SGP",1.38129228687415,2008,4806.741,"South-Eastern Asia"
"SLE",2.10284167794317,2008,5894.7225,"Sub-Saharan Africa"
"SLV",2.87594722598106,2008,6029.2965,"Latin America and the Caribbean"
"SOM",3.17083761840325,2008,11663.084,"Sub-Saharan Africa"
"SRB",2.17127875507443,2008,7454.279,"Europe and North America"
"SVK",1.79553450608931,2008,5379.1205,"Europe and North America"
"SVN",1.34516238159675,2008,2025.0855,"Europe and North America"
"SWE",1.27503382949932,2008,9219.9,"Europe and North America"
"SWZ",2.56657645466847,2008,1098.0915,"Sub-Saharan Africa"
"SYR",2.41299052774019,2008,21636.564,"Northern Africa and Western Asia"
"TCD",2.80786468200271,2008,11476.2955,"Sub-Saharan Africa"
"TGO",2.34857916102842,2008,6368.812,"Sub-Saharan Africa"
"THA",3.07949255751015,2008,67619.8305000001,"South-Eastern Asia"
"TJK",2.59993234100135,2008,7338.403,"Central and Southern Asia"
"TKM",2.49269282814614,2008,5345.029,"Central and Southern Asia"
"TLS",2.34221921515562,2008,1032.4295,"South-Eastern Asia"
"TTO",2.9063599458728,2008,1372.0845,"Latin America and the Caribbean"
"TUN",2.35382273342355,2008,10542.635,"Northern Africa and Western Asia"
"TUR",2.71717456021651,2008,71562.3385,"Northern Africa and Western Asia"
"TWN",1.71187415426252,2008,23086.239,"Eastern Asia"
"TZA",2.12312855209743,2008,42570.728,"Sub-Saharan Africa"
"UGA",2.6962949932341,2008,30539.5525,"Sub-Saharan Africa"
"UKR",2.58738159675237,2008,46819.1755,"Europe and North America"
"URY",1.9355548037889,2008,3302.1775,"Latin America and the Caribbean"
"USA",2.42361299052774,2008,304970.3325,"Europe and North America"
"UZB",2.50338294993234,2008,27494.7745,"Central and Southern Asia"
"VEN",2.77069282814614,2008,28053.696,"Latin America and the Caribbean"
"VNM",1.97513531799729,2008,85175.7875,"South-Eastern Asia"
"YEM",2.67587956698241,2008,25111.9405,"Northern Africa and Western Asia"
"ZAF",3.03014208389716,2008,51114.5985,"Sub-Saharan Africa"
"ZMB",2.35074424898511,2008,13021.324,"Sub-Saharan Africa"
"ZWE",2.79286197564276,2008,12959.1495,"Sub-Saharan Africa"
"AFG",3.26890798376184,2009,27466.1005,"Central and Southern Asia"
"AGO",2.32647767253045,2009,22414.7735,"Sub-Saharan Africa"
"ALB",2.26349797023004,2009,2961.4795,"Europe and North America"
"ARE",1.96688092016238,2009,6707.058,"Northern Africa and Western Asia"
"ARG",2.40284167794317,2009,40854.831,"Latin America and the Caribbean"
"ARM",2.25060893098782,2009,2945.5165,"Northern Africa and Western Asia"
"AUS",1.55517591339648,2009,21783.011,"Oceania"
"AUT",1.52428958051421,2009,8345.0655,"Europe and North America"
"AZE",2.23649120433018,2009,9046.336,"Northern Africa and Western Asia"
"BDI",2.61620974289581,2009,8947.6455,"Sub-Saharan Africa"
"BEL",1.67692828146143,2009,10812.9355,"Europe and North America"
"BEN",2.20845737483085,2009,9509.423,"Sub-Saharan Africa"
"BFA",2.01583220568336,2009,15710.0655,"Sub-Saharan Africa"
"BGD",2.37882273342355,2009,150873.714,"Central and Southern Asia"
"BGR",2.04171177266576,2009,7488.0115,"Europe and North America"
"BHR",2.2654600811908,2009,1183.6055,"Northern Africa and Western Asia"
"BIH",1.89519621109608,2009,3879.794,"Europe and North America"
"BLR",2.65219891745602,2009,9507.33699999999,"Europe and North America"
"BOL",2.35368741542625,2009,10016.2755,"Latin America and the Caribbean"
"BRA",2.66535859269283,2009,192079.9505,"Latin America and the Caribbean"
"BTN",1.9190798376184,2009,693.988,"Central and Southern Asia"
"BWA",2.45030446549391,2009,1990.673,"Sub-Saharan Africa"
"CAF",3.00025304465494,2009,4529.0465,"Sub-Saharan Africa"
"CAN",1.42104194857916,2009,33826.3705,"Europe and North America"
"CHE",1.40805142083897,2009,7737.645,"Europe and North America"
"CHL",1.91031799729364,2009,17009.7305,"Latin America and the Caribbean"
"CHN",2.40814614343708,2009,1342522.716,"Eastern Asia"
"CIV",2.72161705006766,2009,21997.9395,"Sub-Saharan Africa"
"CMR",2.640899864682,2009,19113.9735,"Sub-Saharan Africa"
"COD",3.3509201623816,2009,66412.044,"Sub-Saharan Africa"
"COG",2.58836265223275,2009,4281.219,"Sub-Saharan Africa"
"COL",3.02535453315291,2009,44271.5405,"Latin America and the Caribbean"
"CRI",1.90551420838972,2009,4499.791,"Latin America and the Caribbean"
"CUB",2.50649526387009,2009,11294.7195,"Latin America and the Caribbean"
"CYP",1.76319350473613,2009,1109.371,"Northern Africa and Western Asia"
"CZE",1.72757104194858,2009,10420.9845,"Europe and North America"
"DEU",1.62882273342355,2009,80935.283,"Europe and North America"
"DJI",2.38463058186739,2009,911.527,"Sub-Saharan Africa"
"DNK",1.22310554803789,2009,5523.173,"Europe and North America"
"DOM",2.63068335588633,2009,9695.265,"Latin America and the Caribbean"
"DZA",2.49859539918809,2009,35490.445,"Northern Africa and Western Asia"
"ECU",2.66098376184032,2009,14825.9545,"Latin America and the Caribbean"
"EGY",2.24066305818674,2009,87501.6355,"Northern Africa and Western Asia"
"ERI",3.13058186738836,2009,2887.885,"Sub-Saharan Africa"
"ESP",1.94215155615697,2009,46635.18,"Europe and North America"
"EST",2.01177266576455,2009,1334.5285,"Europe and North America"
"ETH",2.58866441136671,2009,88007.6364999999,"Sub-Saharan Africa"
"FIN",1.30937077131258,2009,5338.8565,"Europe and North America"
"FRA",1.58832882273342,2009,63106.463,"Europe and North America"
"GAB",2.43105548037889,2009,1661.556,"Sub-Saharan Africa"
"GBR",1.76789580514208,2009,62506.2255,"Europe and North America"
"GEO",2.81463734776725,2009,3918.9405,"Northern Africa and Western Asia"
"GHA",2.08977266576455,2009,24862.6645,"Sub-Saharan Africa"
"GIN",2.76632882273342,2009,10143.5345,"Sub-Saharan Africa"
"GMB",2.32445872801083,2009,1871.4225,"Sub-Saharan Africa"
"GNB",2.43437077131258,2009,1526.377,"Sub-Saharan Africa"
